media_id,media_type,content_category,face_count,audio_present,lip_sync_score,visual_artifacts_score,compression_level,lighting_inconsistency_score,source_platform,label
1,Image,News,-0.026893222726703723,Yes,0.5471074203681004,-0.5764324247382787,-1.6021268042722672,-0.6357096958692159,Facebook,Real
2,Video,News,0.680823164818133,Yes,-2.022276206908514,1.332175249796183,0.33389453790646834,1.8437862316460574,Instagram,Fake
3,Video,Political Speech,0.680823164818133,No,-1.3713656879984384,0.8056627878556422,-1.014406039682294,1.1495273719417811,News Website,Fake
4,Image,Social Media,1.3885395523629698,Yes,0.7183996621865416,-0.7409675690946979,0.5413253959970473,-0.43735002166799414,YouTube,Real
5,Video,Interview,-0.7346096102715406,Yes,1.3007932843692407,-1.366201117649091,-1.014406039682294,-0.8340693700704379,Twitter,Real
6,Audio,Interview,0.680823164818133,No,0.9582088007323588,-0.708060540223414,0.472181776633521,-0.5695898044688087,Instagram,Real
7,Video,News,0.680823164818133,No,-0.6861967207246745,0.34496438365766846,-0.4266852750923206,-0.007570727565346714,Twitter,Fake
8,Image,Entertainment,1.3885395523629698,No,-1.8509839650900735,1.7599666251228727,0.057320060452363326,0.3230287294366899,Instagram,Fake
9,Audio,Entertainment,-1.4423259978163774,Yes,0.8896919040049823,-1.10294488667882,1.6130514961317046,-1.2638486641730853,YouTube,Real
10,Audio,Social Media,-1.4423259978163774,Yes,-0.10380309854197531,-0.0499199627977374,-1.567554994590504,1.3148271004427992,Instagram,Fake
11,Image,Entertainment,-0.026893222726703723,No,1.2322763876418643,-0.47771133812442723,0.40303815726999465,-0.9663091528712524,TikTok,Real
12,Image,Entertainment,-0.7346096102715406,Yes,0.47859052364072413,-0.9055027134511169,0.8524716831329154,-0.7018295872696233,TikTok,Real
13,Audio,Interview,0.680823164818133,Yes,0.4443320752770359,-0.6751535113521302,-0.04639536859292618,-0.9663091528712524,News Website,Real
14,Image,Social Media,-0.026893222726703723,No,0.7526581105502295,-1.1358519155501041,1.23276158963231,-0.6357096958692159,Instagram,Real
15,Video,Social Media,-0.7346096102715406,Yes,0.4443320752770359,-1.0700378578075365,1.3019052089958365,-0.9332492071710488,News Website,Real
16,Image,Interview,-0.026893222726703723,Yes,0.992467249096047,-1.10294488667882,-1.2564087074546357,-1.3960884469738999,TikTok,Real
17,Audio,Social Media,-1.4423259978163774,No,1.0609841458234235,-0.872595684579833,-0.5649725138193733,-1.1316088813722707,YouTube,Real
18,Image,Interview,-1.4423259978163774,Yes,-0.3778706854514807,0.44368547027152,0.2993227282247052,1.3478870461430028,Instagram,Fake
19,Video,News,1.3885395523629698,No,-1.2343318945436856,0.015894094944830125,-0.25382622668350496,1.1825873176419848,News Website,Fake
20,Audio,Entertainment,0.680823164818133,No,-0.24083689199672784,1.2663611920536155,0.3684663475882315,0.3891486208370973,TikTok,Fake
21,Video,Entertainment,-0.026893222726703723,No,1.198017939278176,-1.2674800310352392,-0.6686879428646626,-1.0654889899718634,Twitter,Real
22,Audio,Political Speech,-1.4423259978163774,Yes,1.1637594909144877,-0.6751535113521302,-0.4266852750923206,-1.0654889899718634,Instagram,Real
23,Audio,News,-0.026893222726703723,Yes,-0.3093537887241043,1.2992682209248994,0.472181776633521,0.3560886751368936,Instagram,Fake
24,Video,Political Speech,1.3885395523629698,Yes,-1.439882584725815,0.9701979322120611,1.23276158963231,1.909906123046465,YouTube,Fake
25,Video,Interview,0.680823164818133,Yes,1.0952425941871118,-1.0371308289362526,1.4401924477228887,-0.5034699130684013,Twitter,Real
26,Audio,Interview,1.3885395523629698,No,-2.022276206908514,1.1347330765684802,-1.2564087074546357,0.12466905523546798,Instagram,Fake
27,Image,Entertainment,0.680823164818133,No,0.3415567301859712,0.838569816726926,0.43760996695175786,0.2899687837364862,TikTok,Fake
28,Video,Entertainment,-0.026893222726703723,No,0.8896919040049823,-1.0700378578075365,1.3364770186775996,-0.9001892614708452,TikTok,Real
29,Image,Political Speech,1.3885395523629698,No,-0.6861967207246745,0.9372909033407771,-0.8415469912734782,0.9181077520403553,TikTok,Fake
30,Video,Entertainment,-0.026893222726703723,No,0.3415567301859712,0.04880112381611399,-1.7404140429993198,0.8519878606399484,Facebook,Fake
31,Audio,Entertainment,1.3885395523629698,No,0.9239503523686706,-0.8067816268372654,1.1290461605870206,-0.43735002166799414,TikTok,Real
32,Video,News,-0.7346096102715406,Yes,0.2045229367312187,1.0360119899546285,-0.011823558911163008,1.3148271004427992,Instagram,Fake
33,Audio,Entertainment,-0.7346096102715406,Yes,-1.7139501716353205,1.6283385096377376,-0.3575416557287945,1.3478870461430028,Instagram,Fake
34,Image,Political Speech,-1.4423259978163774,No,0.4100736269133477,-0.7738745979659817,0.6104690153605733,-1.3960884469738999,News Website,Real
